,result,number of question
1,1,4
2,-1,5
3,-1,3
4,-1,4
5,-1,3
6,1,4
7,1,2
8,1,3
9,1,3
10,-1,5
11,1,3
12,1,2
13,-1,4
14,-1,5
15,-1,4
16,-1,2
17,1,3
18,-1,5
19,-1,2
20,-1,2
21,1,3
22,-1,4
23,-1,3
24,-1,3
25,-1,4
26,-1,2
27,-1,4
28,-1,4
29,-1,4
30,1,4
31,-1,3
32,1,4
33,1,3
34,-1,4
35,1,4
36,1,3
37,-1,3
38,1,4
39,-1,5
40,-1,4
41,-1,3
42,1,3
43,1,3
44,-1,4
45,-1,3
46,1,1
47,1,3
48,1,4
49,-1,5
50,1,4
51,1,4
52,1,3
53,1,4
54,1,3
55,-1,3
56,-1,3
57,-1,6
58,-1,4
59,-1,4
60,-1,5
61,-1,3
62,-1,4
63,-1,4
64,1,3
65,-1,3
66,-1,4
67,-1,3
68,1,2
69,-1,3
70,-1,4
71,-1,3
72,-1,3
73,-1,3
74,-1,2
75,-1,4
76,1,6
77,1,4
78,1,4
79,1,4
80,1,4
81,1,3
82,1,4
83,1,5
84,1,4
85,1,3
86,-1,3
87,1,3
88,1,4
89,1,3
90,1,3
91,1,7
92,1,3
93,1,5
94,1,4
95,1,3
96,-1,4
97,1,4
98,-1,4
99,1,2
100,-1,5
101,-1,5
102,-1,4
103,-1,4
104,-1,3
105,-1,3
106,-1,3
107,-1,4
108,-1,4
109,-1,4
110,-1,3
111,-1,4
112,1,0
113,1,1
114,-1,2
115,-1,2
116,-1,3
117,-1,3
118,-1,5
119,-1,5
120,-1,4
121,-1,4
122,-1,3
123,-1,3
124,-1,5
125,-1,2
126,-1,1
127,-1,2
128,1,3
129,-1,3
130,-1,5
131,-1,1
132,-1,5
133,1,5
134,-1,3
135,1,4
136,-1,6
137,-1,3
138,1,2
139,1,4
140,-1,5
141,-1,3
142,-1,4
143,-1,4
144,-1,6
145,-1,3
146,1,7
147,-1,3
148,-1,2
149,-1,3
150,-1,1
151,-1,2
152,-1,4
153,-1,4
154,-1,1
155,-1,3
156,-1,7
157,-1,3
158,-1,4
159,-1,4
160,-1,3
161,-1,6
162,-1,3
163,-1,3
164,-1,3
165,-1,1
166,-1,3
167,-1,3
168,-1,3
169,-1,1
170,-1,4
171,-1,1
172,-1,1
173,-1,2
174,-1,1
175,-1,3
176,1,6
177,-1,3
178,-1,5
179,-1,4
180,-1,4
181,-1,4
182,1,1
183,1,2
184,-1,1
185,-1,4
186,1,4
187,-1,4
188,1,4
189,-1,4
190,-1,4
191,1,5
192,-1,4
193,-1,4
194,1,3
195,-1,3
196,-1,5
197,1,3
198,1,2
199,-1,3
200,1,2
201,1,3
202,1,3
203,-1,5
204,-1,4
205,-1,4
206,-1,4
207,-1,3
208,-1,3
209,-1,3
210,-1,3
211,-1,4
212,-1,4
213,-1,4
214,-1,4
215,1,3
216,-1,3
217,-1,2
218,-1,3
219,-1,5
220,-1,3
221,-1,4
222,-1,3
223,-1,4
224,-1,3
225,-1,4
226,1,3
227,-1,2
228,-1,2
229,-1,3
230,-1,3
231,1,4
232,-1,3
233,-1,3
234,-1,2
235,-1,2
236,-1,2
237,-1,2
238,-1,3
239,1,2
240,-1,5
241,1,2
242,1,3
243,-1,6
244,-1,1
245,1,3
246,1,2
247,1,2
248,1,2
249,1,3
250,1,2
251,-1,5
252,-1,4
253,-1,3
254,-1,4
255,-1,2
256,-1,3
257,-1,4
258,-1,2
259,-1,4
260,-1,3
261,-1,2
262,-1,2
263,-1,3
264,-1,3
265,-1,4
266,-1,2
267,-1,4
268,-1,3
269,-1,2
270,-1,2
271,-1,3
272,-1,4
273,-1,4
274,-1,3
275,-1,3
276,-1,4
277,-1,3
278,-1,3
279,-1,3
280,-1,3
281,-1,3
282,-1,3
283,-1,3
284,-1,3
285,-1,4
286,-1,4
287,-1,3
288,-1,2
289,-1,6
290,-1,3
291,-1,3
292,-1,2
293,-1,2
294,-1,1
295,-1,1
296,-1,3
297,-1,5
298,-1,4
299,-1,4
300,-1,5
301,-1,3
302,-1,4
303,-1,4
304,-1,3
305,-1,4
306,-1,4
307,-1,2
308,-1,2
309,1,4
310,-1,2
311,-1,4
312,-1,5
313,-1,2
314,-1,1
315,-1,1
316,1,0
317,-1,4
318,-1,4
319,-1,5
320,-1,3
321,-1,3
322,1,5
323,-1,4
324,-1,4
325,1,5
326,1,4
327,-1,4
328,-1,2
329,1,0
330,-1,1
331,-1,4
332,1,4
333,1,3
334,1,6
335,1,3
336,1,3
337,1,3
338,1,4
339,-1,3
340,1,3
341,1,0
342,-1,1
343,-1,1
344,-1,4
345,-1,4
346,-1,5
347,-1,3
348,-1,4
349,-1,4
350,-1,3
351,-1,1
352,-1,5
353,-1,3
354,-1,2
355,-1,2
356,-1,2
357,1,0
358,-1,2
359,1,3
360,-1,4
361,1,2
362,-1,4
363,-1,4
364,1,5
365,1,5
366,1,4
367,1,3
368,-1,3
369,-1,4
370,1,3
371,1,4
372,-1,4
373,-1,2
374,-1,2
375,-1,2
376,-1,7
377,-1,4
378,-1,3
379,1,6
380,-1,2
381,-1,4
382,-1,3
383,-1,4
384,-1,3
385,1,0
386,1,2
387,-1,2
388,-1,3
389,-1,5
390,-1,3
391,-1,4
392,-1,3
393,-1,5
394,-1,6
395,-1,4
396,1,3
397,-1,3
398,1,2
399,-1,2
400,1,0
401,-1,3
402,-1,4
403,1,4
404,-1,4
405,1,2
406,-1,3
407,-1,4
408,-1,2
409,1,4
410,1,4
